hourofday,avgdepdelay
5,-3.8910872573587163
6,-1.0925077907306162
7,1.0673561863123107
8,2.704111046867275
9,4.901141735970018
10,6.599912289980783
4,7.005190839694657
11,7.226811741922332
12,8.534414546363855
13,9.629388333340621
14,11.186951324122575
15,12.888861023271085
16,13.437244961863763
17,14.601548011539254
18,17.305066706675824
19,18.93445941761817
20,25.309096267937733
21,27.060681412333125
22,41.72624833274564
23,56.54802041854509
24,62.123056994818654
0,64.31449553001278
1,104.67015013246983
2,125.98390604610701
3,146.27312138728323
